Date,Price,Floor
23.08.28,26억,110동 6층
23.08.25,"26억 5,000",207동 11층
23.07.30,"25억 6,000",222동 31층
23.07.27,"25억 4,000",118동 26층
23.07.26,"25억 9,800",118동 28층
23.07.18,"25억 2,000",206동 23층
23.07.05,25억,223동 5층
23.06.19,"25억 6,000",117동 9층
23.06.07,"24억 9,500",116동 22층
23.06.03,"24억 9,000",118동 19층
23.05.27,"23억 8,000",118동 11층
23.05.20,"21억 3,000",205동 25층
23.05.02,"25억 2,500",222동 15층
23.04.25,"24억 3,000",206동 29층
23.04.23,"24억 1,000",222동 13층
23.01.11,25억,111동 23층
21.09.11,30억,223동 25층
21.09.05,28억,206동 22층
21.08.18,27억,118동 7층
21.07.24,"26억 6,000",205동 32층
21.07.23,"27억 1,000",222동 21층
21.06.21,25억 300,2층 경매
21.05.22,"26억 3,000",223동 23층
21.04.16,22억,116동 4층
21.02.27,"24억 5,000",111동 1층
21.02.08,26억,110동 24층
21.01.27,22억,223동 1층
21.01.16,"26억 1,000",207동 7층
21.01.11,"25억 9,000",118동 11층
21.01.08,"24억 7,000",223동 22층
20.12.20,"24억 3,000",118동 26층
20.12.19,25억,222동 17층
20.12.11,25억,207동 10층
20.12.05,23억,118동 22층
20.12.04,"24억 6,000",111동 21층
20.11.12,24억,117동 29층
20.09.28,25억,110동 30층
20.08.11,23억,205동 18층
20.07.27,"23억 8,000",206동 29층
20.07.22,24억,205동 14층
20.07.20,"23억 6,000",116동 19층
20.07.07,"24억 2,000",110동 25층
20.07.02,23억,223동 23층
20.06.30,"23억 5,000",110동 31층
20.06.14,"19억 6,500",222동 4층
