Date,Price,Floor
23.10.20,"16억 6,000",106동 19층
23.10.02,16억,117동 2층
23.10.01,"16억 2,250",117동 8층
23.09.28,"15억 9,000",118동 6층
23.09.26,"17억 2,000",104동 22층
23.09.23,"16억 5,000",106동 19층
23.09.22,"16억 8,000",106동 18층
23.09.21,"직12억 4,000",111동 21층
23.08.27,"15억 7,000",129동 2층
23.08.26,"16억 7,000",106동 11층
23.08.05,16억,124동 26층
23.07.22,15억,113동 3층
23.07.22,"16억 1,700",118동 10층
23.07.18,16억,110동 10층
23.07.05,"15억 4,500",117동 6층
23.06.25,"취소15억 7,000",134동 4층
23.06.25,"15억 7,000",134동 4층
23.06.22,"15억 5,000",115동 18층
23.06.17,"15억 5,000",115동 6층
23.06.13,"15억 5,000",117동 5층
23.06.12,16억,124동 15층
23.06.12,취소16억,124동 15층
23.06.10,16억,134동 23층
23.06.09,17억,102동 33층
23.06.09,"15억 9,900",124동 9층
23.06.05,"16억 8,000",103동 16층
23.06.03,"15억 8,000",124동 18층
23.05.29,"15억 3,000",110동 15층
23.05.19,"15억 7,500",106동 5층
23.05.14,"15억 7,000",113동 27층
23.05.09,"15억 4,000",125동 6층
23.04.22,"16억 5,000",105동 16층
23.04.17,"15억 7,000",113동 17층
23.04.16,"15억 7,000",113동 21층
23.04.12,15억,109동 3층
23.04.04,16억,104동 13층
23.03.25,"15억 3,500",118동 9층
23.03.23,"14억 5,000",130동 3층
23.03.20,"14억 7,000",110동 4층
23.03.04,"14억 9,500",110동 24층
23.03.03,"14억 6,000",117동 4층
23.03.02,"12억 8,400",112동 12층
23.03.01,직14억,125동 19층
23.02.18,"15억 5,000",109동 27층
23.02.05,"14억 7,000",112동 7층
23.02.04,16억,103동 23층
23.02.04,"13억 8,500",112동 4층
23.01.28,"14억 4,700",118동 13층
23.01.27,"14억 5,000",110동 6층
23.01.20,"12억 2,500",130동 1층
22.12.21,"14억 4,500",114동 19층
22.11.06,"13억 9,000",118동 5층
22.10.29,"13억 8,000",111동 14층
22.08.06,"16억 3,000",113동 5층
22.05.27,"17억 5,000",117동 17층
22.05.25,"직14억 8,000",117동 19층
22.04.29,"16억 7,500",114동 7층
21.12.08,"18억 8,900",112동 17층
21.10.29,18억,118동 7층
21.10.16,"18억 9,000",109동 19층
21.10.15,19억,102동 17층
21.09.27,"18억 4,000",110동 9층
21.09.04,"18억 9,000",106동 24층
21.08.21,"18억 8,500",104동 19층
21.08.20,"17억 6,000",113동 10층
21.08.19,"18억 5,000",104동 11층
21.07.17,"18억 1,000",111동 25층
21.06.24,"17억 9,500",105동 7층
21.06.08,"18억 1,000",105동 22층
21.05.13,"13억 6,500",125동 12층
21.04.06,"16억 8,000",112동 11층
21.04.06,"취소16억 8,000",112동 11층
21.03.26,"17억 6,000",103동 27층
21.03.25,"17억 7,000",106동 21층
21.03.08,16억,115동 6층
21.02.08,"17억 6,000",110동 12층
21.01.16,"16억 3,000",109동 22층
21.01.03,"취소16억 6,800",115동 6층
20.12.28,"15억 9,000",124동 18층
20.12.19,"16억 5,000",124동 7층
20.12.16,16억,134동 11층
20.12.14,"17억 5,000",117동 18층
20.12.10,"16억 5,000",117동 6층
20.12.05,"16억 2,000",115동 18층
20.11.07,"16억 8,000",110동 22층
20.09.24,"16억 5,000",125동 23층
20.09.12,"16억 8,500",110동 27층
20.09.02,"16억 5,000",129동 8층
20.08.20,"16억 2,000",109동 23층
20.07.17,17억,102동 24층
20.07.04,"15억 9,000",110동 20층
20.06.12,"14억 5,000",118동 18층
20.06.10,"15억 5,000",105동 18층
20.06.10,"14억 9,500",105동 25층
20.06.09,"14억 9,000",112동 22층
