Date,Price,Floor
23.10.14,"26억 2,000",108동 33층
23.10.03,"23억 5,000",513동 2층
23.09.20,"취소24억 8,000",315동 22층
23.09.04,"24억 9,000",104동 20층
23.09.02,"24억 8,000",315동 22층
23.08.25,26억,312동 23층
23.08.14,"24억 8,000",110동 15층
23.08.04,25억,313동 32층
23.08.01,26억,513동 19층
23.05.13,"22억 8,000",313동 2층
23.05.03,"25억 3,000",104동 13층
23.05.01,"23억 9,000",313동 14층
23.04.29,"25억 5,000",315동 28층
23.04.15,"24억 8,000",105동 24층
23.04.06,"직20억 8,800",110동 23층
23.04.05,"23억 1,500",108동 8층
23.03.03,"24억 5,000",110동 13층
22.10.06,"26억 2,000",312동 8층
22.05.23,29억,315동 6층
21.08.06,"29억 1,000",111동 24층
21.06.22,"26억 5,000",312동 5층
21.05.10,"24억 8,000",104동 22층
21.05.06,25억,104동 23층
21.04.19,"25억 8,000",105동 34층
21.02.27,"26억 2,500",28층 분양권
21.02.20,"25억 8,000",105동 7층
21.01.29,"25억 2,000",513동 25층
21.01.18,26억,313동 33층
21.01.18,취소26억,313동 33층
20.12.27,"25억 2,000",34층 입주권
20.11.25,"24억 8,500",105동 20층
20.05.11,23억,28층 입주권
19.12.14,24억,21층 분양권
19.09.11,"23억 5,000",20층 분양권
19.07.30,19억 470,105동 34층
