Date,Price,Floor
23.10.05,13억,308동 1층
23.09.27,"13억 6,000",407동 2층
23.09.23,"13억 6,500",211동 11층
23.09.18,"13억 6,000",107동 3층
23.09.16,"14억 2,000",411동 5층
23.09.15,"12억 9,800",403동 1층
23.09.14,"14억 4,800",208동 5층
23.09.09,"12억 3,500",107동 1층
23.09.04,"14억 5,200",412동 16층
23.09.03,"13억 8,000",307동 15층
23.09.02,"13억 6,000",305동 7층
23.08.29,"13억 5,000",307동 3층
23.08.26,"13억 8,000",207동 9층
23.08.23,"13억 8,000",204동 10층
23.08.21,"14억 6,300",208동 21층
23.08.21,"13억 7,000",302동 12층
23.08.21,"13억 2,000",204동 3층
23.08.19,"12억 2,000",106동 1층
23.08.19,"13억 5,000",107동 19층
23.08.18,"14억 2,000",412동 23층
23.08.14,"13억 8,000",409동 2층
23.08.13,"13억 7,500",305동 15층
23.08.09,14억,412동 17층
23.07.26,"13억 7,000",403동 8층
23.07.22,"13억 5,000",211동 9층
23.07.16,"13억 6,000",106동 9층
23.06.29,"13억 5,000",407동 7층
23.06.18,13억,305동 21층
23.06.02,"13억 3,000",308동 17층
23.05.27,"13억 7,000",106동 18층
23.05.26,"13억 3,000",406동 4층
23.05.18,"13억 2,000",106동 5층
23.05.15,"12억 7,000",402동 12층
23.05.14,13억,211동 2층
23.05.10,"13억 5,000",412동 20층
23.05.08,"13억 2,700",307동 19층
23.05.06,"13억 4,900",412동 13층
23.04.30,"12억 5,000",308동 2층
23.04.17,"12억 7,000",107동 7층
23.04.16,"13억 5,000",206동 4층
23.04.15,"12억 9,800",209동 13층
23.04.04,"13억 5,000",211동 12층
23.04.01,"13억 3,000",106동 9층
23.03.30,12억,308동 3층
23.03.24,12억,209동 2층
23.03.04,"12억 7,500",411동 5층
23.03.01,"13억 3,000",412동 11층
23.03.01,"취소13억 3,000",412동 11층
23.02.28,"12억 5,000",107동 10층
23.01.28,12억,302동 3층
22.12.10,11억,308동 8층
22.11.29,"11억 3,000",302동 7층
22.08.26,"14억 5,000",406동 7층
22.04.22,15억,302동 4층
22.04.22,취소15억,302동 4층
22.04.01,"15억 4,000",208동 2층
22.03.26,"15억 6,000",211동 9층
21.11.10,15억,307동 5층
21.10.30,"15억 9,500",107동 19층
21.10.27,"15억 2,500",105동 14층
21.10.16,"15억 9,500",211동 8층
21.10.04,"16억 4,000",403동 22층
21.09.23,17억,403동 29층
21.09.16,16억,409동 12층
21.09.15,"15억 4,000",412동 7층
21.09.12,"16억 5,000",406동 15층
21.09.07,"16억 3,000",407동 7층
21.09.04,"15억 5,000",403동 19층
21.08.18,"14억 8,000",305동 3층
21.08.16,16억,308동 11층
21.07.24,"14억 9,000",308동 7층
21.05.25,"15억 5,000",402동 23층
21.05.03,"15억 8,000",412동 12층
21.04.17,"15억 8,000",108동 11층
21.04.09,"14억 2,000",411동 2층
21.03.26,"14억 9,000",204동 7층
21.03.25,"15억 8,000",406동 6층
21.03.20,"14억 9,500",206동 2층
21.03.11,"14억 6,300",305동 4층
21.02.01,15억,108동 10층
21.01.30,"13억 5,000",305동 1층
21.01.27,"14억 8,500",307동 20층
21.01.07,"16억 5,000",1층
21.01.02,"14억 9,900",305동 12층
20.12.28,"15억 1,000",206동 5층
20.12.26,"15억 3,500",402동 17층
20.12.26,13억 500,211동 2층
20.12.24,"14억 2,500",307동 17층
20.12.23,"14억 7,500",209동 9층
20.12.23,"13억 9,000",406동 3층
20.12.22,"14억 6,500",307동 13층
20.12.19,"14억 6,000",206동 3층
20.12.19,"14억 8,000",106동 15층
20.12.19,"14억 2,500",402동 4층
20.12.08,"14억 5,000",105동 12층
20.12.06,"14억 6,000",106동 9층
20.12.05,14억 500,106동 1층
20.12.03,"14억 9,000",411동 10층
20.11.28,"13억 4,000",305동 1층
20.11.28,14억 500,107동 4층
20.11.27,"13억 7,500",305동 16층
20.11.26,14억,308동 2층
20.11.25,"14억 5,500",204동 13층
20.11.24,"14억 5,000",403동 27층
20.11.24,"14억 5,000",403동 27층
20.11.23,"13억 9,000",305동 19층
20.11.22,"14억 6,000",412동 19층
20.11.21,"13억 6,000",409동 2층
20.11.15,"14억 6,500",412동 15층
20.11.07,"14억 5,000",308동 12층
20.10.31,"14억 7,500",204동 12층
20.10.26,"14억 6,000",204동 10층
20.10.24,"14억 5,000",108동 10층
20.10.23,"14억 8,000",208동 5층
20.10.19,"14억 2,500",412동 4층
