Date,Price,Floor
23.09.16,"25억 5,500",125동 24층
23.09.16,"27억 4,500",106동 17층
23.08.29,"22억 5,000",125동 2층
23.08.25,"26억 9,000",104동 24층
23.08.24,26억,106동 25층
23.08.23,"25억 7,000",104동 6층
23.07.28,"27억 3,500",106동 16층
23.07.17,"24억 7,000",126동 18층
23.07.09,24억,126동 17층
23.07.08,25억,105동 4층
23.06.24,"24억 9,000",125동 18층
23.05.18,"23억 5,000",125동 17층
23.04.22,"23억 9,300",104동 3층
23.04.20,24억,104동 27층
23.03.19,"24억 1,000",104동 4층
23.03.08,22억 380,18층 경매
23.03.06,"24억 1,000",104동 23층
23.02.14,"21억 3,700",26층 경매
22.11.01,"26억 9,000",105동 8층
22.08.25,"25억 5,000",125동 27층
22.04.20,"25억 2,500",125동 23층
21.10.09,30억,104동 20층
21.07.25,"26억 5,000",104동 4층
21.06.15,"27억 5,000",105동 24층
21.04.28,"26억 2,000",104동 28층
21.03.01,26억,104동 7층
21.01.17,25억,105동 18층
20.12.31,"24억 4,500",106동 29층
20.12.25,"21억 8,000",125동 3층
20.12.19,22억,106동 2층
20.12.01,"23억 5,000",105동 7층
20.11.20,24억,104동 25층
20.10.27,23억,125동 26층
20.10.24,"23억 2,000",106동 21층
20.10.22,"22억 5,000",106동 3층
