Date,Price,Floor
23.09.15,"27억 7,000",202동 14층
23.09.05,"26억 8,000",207동 2층
23.08.31,"28억 2,000",201동 9층
23.08.27,"27억 7,000",202동 7층
23.07.21,"27억 4,500",210동 20층
23.07.07,"25억 5,000",207동 10층
23.07.04,"27억 4,000",209동 4층
23.06.28,"26억 8,000",207동 5층
23.06.27,"27억 2,000",206동 20층
23.06.15,"27억 5,000",206동 19층
23.06.05,"27억 4,000",204동 7층
23.05.29,26억,201동 5층
23.05.17,27억,208동 13층
23.05.13,"26억 4,500",201동 7층
23.05.01,"26억 8,000",208동 16층
23.04.29,25억,207동 19층
23.04.22,"25억 8,000",211동 3층
23.04.22,"26억 3,000",201동 19층
23.04.22,"26억 9,000",211동 17층
23.04.17,"25억 5,000",203동 21층
23.04.01,"24억 9,000",206동 7층
23.04.01,"25억 9,000",207동 21층
23.03.25,"23억 9,500",207동 3층
23.03.25,"26억 2,000",209동 11층
23.03.13,"24억 9,000",204동 15층
23.03.10,"23억 8,000",212동 2층
23.03.04,25억,201동 13층
23.02.25,25억,205동 13층
23.02.22,"25억 5,000",202동 20층
23.02.20,"23억 7,000",207동 11층
23.02.09,"24억 5,000",201동 6층
23.01.31,"25억 6,000",202동 18층
23.01.14,24억,207동 12층
23.01.13,"23억 5,000",201동 17층
23.01.07,24억,211동 19층
22.09.27,"27억 8,000",204동 9층
22.08.28,28억,206동 17층
22.08.16,"31억 5,000",212동 15층
22.07.16,"29억 9,000",203동 14층
22.07.01,"취소31억 5,000",212동 15층
22.06.17,직16억,211동 13층
22.06.01,31억,204동 7층
22.05.11,"취소31억 3,000",208동 3층
22.03.14,"31억 3,000",208동 16층
21.10.07,"28억 8,000",208동 1층
21.09.06,"28억 7,000",208동 1층
21.09.04,32억,206동 21층
21.08.17,29억,206동 4층
21.08.13,"29억 5,000",211동 5층
21.07.31,"29억 7,000",202동 5층
21.07.27,"취소28억 7,000",206동 22층
21.07.23,"27억 3,000",212동 3층
21.07.14,"29억 5,500",203동 5층
21.07.04,29억,210동 20층
21.06.26,"28억 8,000",210동 13층
21.06.15,29억,210동 13층
21.05.31,"28억 5,000",207동 5층
21.05.29,"27억 9,500",212동 4층
21.05.05,"28억 5,500",201동 21층
21.05.04,28억,202동 13층
21.01.09,"28억 9,000",201동 18층
21.01.08,"28억 9,000",209동 4층
20.12.12,27억,203동 22층
20.11.24,"28억 4,500",201동 15층
20.11.21,"28억 5,000",206동 6층
20.11.19,"27억 4,000",207동 22층
20.11.16,"28억 5,000",209동 6층
20.10.15,"28억 8,000",207동 7층
20.08.22,"28억 5,000",202동 13층
20.08.15,"27억 5,000",212동 6층
20.08.08,"27억 7,500",201동 20층
20.07.03,"26억 5,500",205동 8층
20.06.26,"23억 5,000",211동 10층
20.06.25,23억,211동 1층
20.06.22,"22억 5,000",210동 1층
