Date,Price,Floor
23.10.28,"10억 5,000",243동 4층
23.10.13,"9억 3,500",245동 20층
23.10.06,"10억 3,000",244동 11층
23.10.06,"10억 4,300",245동 7층
23.09.11,"11억 4,000",246동 21층
23.09.11,"10억 7,000",245동 4층
23.09.09,"9억 3,800",243동 17층
23.09.07,"10억 5,000",246동 20층
23.08.23,9억,246동 10층
23.08.09,"9억 3,000",246동 32층
23.07.22,"9억 8,000",246동 16층
23.06.30,"9억 9,500",243동 25층
23.06.19,"9억 9,000",244동 10층
23.06.11,"8억 8,500",246동 33층
23.06.03,"9억 5,000",244동 20층
23.05.29,9억,243동 18층
23.05.29,취소9억,243동 18층
23.05.23,"8억 7,000",244동 30층
23.05.23,직6억,245동 12층
23.05.18,"8억 6,500",245동 7층
23.05.13,"10억 7,000",243동 7층
23.04.19,"8억 6,000",244동 13층
23.04.02,"8억 2,000",245동 2층
23.03.24,"8억 4,000",243동 11층
23.03.16,"8억 4,500",244동 11층
22.06.20,12억 300,245동 2층
22.06.18,"9억 8,000",245동 29층
22.05.28,"9억 2,500",244동 2층
22.05.24,"9억 7,000",245동 23층
22.05.19,"10억 5,500",243동 24층
22.05.12,"10억 7,000",245동 20층
22.05.05,"10억 5,000",243동 19층
22.04.27,"9억 5,000",244동 32층
22.04.23,"10억 6,000",243동 10층
22.04.08,"10억 6,500",243동 28층
22.03.25,"9억 9,700",245동 10층
22.03.18,"10억 7,000",245동 29층
22.03.11,"10억 5,000",246동 13층
21.10.01,"11억 3,000",243동 30층
21.09.25,"12억 7,500",246동 18층
21.09.24,"8억 7,000",244동 1층
21.09.15,"11억 4,500",246동 20층
21.09.15,"10억 1,000",243동 23층
21.09.07,"12억 2,500",243동 22층
21.09.06,11억,245동 6층
21.08.28,"10억 3,000",245동 21층
21.08.20,"12억 3,000",244동 24층
21.08.20,"취소12억 3,000",244동 24층
21.08.18,"9억 9,500",243동 30층
21.08.18,"11억 1,500",244동 29층
21.08.18,"9억 6,500",245동 26층
21.08.13,"11억 2,000",244동 28층
21.06.21,"10억 1,000",246동 8층
21.06.19,11억,246동 28층
21.06.19,"10억 1,500",246동 19층
21.06.17,"10억 4,000",245동 15층
21.06.08,"9억 9,300",244동 16층
21.05.31,"9억 9,000",246동 1층
21.05.14,"11억 1,500",246동 19층
21.05.08,10억,246동 26층
21.05.07,"10억 4,000",245동 13층
21.05.05,"10억 8,000",243동 12층
21.04.28,"11억 8,000",245동 30층
21.04.01,"9억 2,500",244동 14층
21.03.31,9억 300,244동 33층
21.03.27,10억,244동 1층
21.03.26,"10억 5,000",245동 8층
21.03.19,"9억 5,000",244동 25층
21.03.17,"9억 5,000",244동 16층
21.03.08,"10억 5,000",243동 8층
21.02.22,"10억 8,000",244동 26층
21.02.06,"9억 5,000",12층
21.02.06,"9억 5,000",245동 8층
21.02.06,"9억 5,000",12층
21.02.01,"12억 2,000",244동 31층
21.01.30,"11억 2,000",244동 24층
21.01.23,"11억 8,000",243동 20층
21.01.05,10억,246동 5층
20.12.24,"10억 4,000",246동 20층
20.12.24,"9억 8,000",245동 25층
20.12.07,"9억 9,000",246동 25층
20.12.05,"9억 6,000",246동 4층
20.12.03,10억,243동 30층
20.12.02,"9억 7,500",246동 5층
20.11.21,"9억 9,000",243동 25층
20.11.14,10억,243동 7층
20.10.26,"10억 9,000",243동 23층
20.08.11,"10억 7,000",243동 29층
20.08.11,"8억 9,500",246동 19층
20.07.24,"10억 8,000",246동 28층
20.07.24,취소8억,244동 6층
20.07.04,"11억 5,000",244동 5층
20.07.04,"9억 7,000",243동 30층
20.07.04,"10억 2,000",245동 30층
20.07.02,"10억 7,500",246동 12층
