Date,Price,Floor
23.10.17,11억,217동 12층
23.10.14,"12억 4,000",116동 10층
23.10.07,"12억 7,800",115동 29층
23.10.04,"12억 9,000",121동 17층
23.10.04,"11억 9,500",214동 13층
23.10.04,"12억 3,000",219동 10층
23.10.03,"12억 6,000",117동 19층
23.09.25,12억,123동 5층
23.09.23,"12억 3,000",129동 25층
23.09.19,"12억 2,500",213동 12층
23.09.19,"12억 3,500",107동 6층
23.09.18,"10억 5,000",301동 4층
23.09.15,"12억 7,500",111동 12층
23.09.14,"12억 5,000",124동 31층
23.09.07,"12억 3,500",218동 26층
23.09.05,"10억 8,500",302동 6층
23.09.02,"12억 4,000",111동 7층
23.08.30,"11억 4,000",129동 2층
23.08.29,"12억 3,500",112동 6층
23.08.26,"12억 6,500",111동 19층
23.08.26,"10억 5,500",215동 1층
23.08.24,직9억,215동 19층
23.08.22,"직12억 9,100",112동 18층
23.08.21,"12억 1,500",110동 12층
23.08.01,"11억 6,500",219동 15층
23.07.29,"11억 7,000",215동 17층
23.07.27,"11억 6,000",212동 13층
23.07.15,11억,219동 14층
23.07.10,"11억 6,000",215동 17층
23.07.04,"12억 8,500",112동 10층
23.06.29,"12억 3,000",122동 24층
23.06.19,"직11억 7,000",219동 10층
23.06.17,"11억 2,500",215동 3층
23.06.10,"11억 6,000",219동 3층
23.06.07,10억 500,301동 3층
23.06.06,"12억 7,000",115동 12층
23.05.27,"10억 8,500",215동 2층
23.05.22,"10억 9,000",215동 3층
23.05.21,"11억 9,500",216동 19층
23.05.19,"11억 2,000",210동 6층
23.04.25,12억,108동 17층
23.04.22,"10억 7,000",129동 3층
23.04.21,12억,121동 23층
23.04.20,"11억 7,000",209동 14층
23.04.04,"직8억 5,000",216동 16층
23.04.01,11억 500,218동 3층
23.03.25,"10억 9,000",129동 21층
23.03.18,"12억 3,000",117동 23층
23.03.15,"9억 5,000",301동 1층
23.02.28,"11억 8,500",120동 25층
23.02.23,"11억 7,000",215동 20층
23.02.18,"10억 9,000",218동 5층
23.02.16,"10억 8,000",217동 5층
23.02.07,11억,123동 3층
22.12.14,"직8억 5,000",109동 16층
22.11.03,"12억 1,000",123동 23층
22.10.07,12억,121동 27층
22.09.23,"11억 9,000",121동 13층
22.09.21,"12억 2,000",112동 16층
22.09.17,12억 500,117동 15층
22.08.16,"10억 7,000",220동 14층
22.08.01,"11억 5,000",401동 13층
22.06.14,"12억 7,500",219동 12층
22.06.03,14억 500,111동 17층
22.05.29,"13억 1,000",112동 4층
22.05.11,"취소14억 2,000",121동 27층
22.05.04,"14억 3,300",129동 20층
22.05.03,"직12억 2,000",302동 14층
22.05.02,"취소12억 2,000",302동 14층
22.03.31,"13억 4,000",219동 15층
22.02.11,13억,217동 3층
21.11.27,14억 500,123동 11층
21.11.19,"14억 8,000",212동 14층
21.11.03,"13억 9,500",401동 13층
21.10.30,"14억 6,000",213동 15층
21.10.06,"14억 3,500",130동 23층
21.09.25,"14억 9,000",218동 16층
21.09.18,"13억 5,400",210동 3층
21.09.14,"15억 1,000",113동 20층
21.09.10,"15억 4,000",113동 10층
21.08.20,"13억 8,500",220동 22층
21.08.12,"13억 4,500",301동 6층
21.08.12,"13억 9,500",401동 15층
21.08.08,"14억 5,000",214동 18층
21.08.07,"13억 4,800",127동 3층
21.07.31,15억,117동 8층
21.07.31,"14억 2,500",212동 13층
21.07.27,"14억 5,000",218동 11층
21.07.15,"15억 1,500",120동 4층
21.07.03,"14억 3,000",216동 6층
21.06.19,"14억 1,000",210동 8층
21.06.16,"13억 5,000",219동 16층
21.05.19,"13억 5,000",212동 2층
21.05.19,14억,214동 16층
21.05.07,"12억 8,000",129동 3층
21.04.30,"14억 6,000",109동 9층
21.04.24,"13억 4,500",219동 22층
21.04.22,"14억 5,000",122동 16층
21.03.30,13억 500,211동 2층
21.03.27,"14억 8,000",123동 18층
21.03.09,"13억 2,500",110동 10층
21.02.23,"13억 5,000",218동 11층
