Date,Price,Floor
23.11.03,"14억 6,000",313동 26층
23.09.11,"16억 8,000",339동 19층
23.08.23,"13억 6,000",305동 1층
23.08.20,"15억 1,500",307동 10층
23.08.15,"15억 3,000",309동 21층
23.08.12,15억,304동 12층
23.08.11,"15억 1,000",316동 8층
23.08.05,"14억 9,000",316동 19층
23.08.03,14억,305동 1층
23.08.03,"15억 1,000",324동 13층
23.07.22,"14억 9,500",304동 24층
23.07.20,"16억 7,000",338동 24층
23.07.17,15억,309동 13층
23.07.11,15억,311동 13층
23.06.30,"취소14억 8,000",303동 16층
23.06.25,"14억 5,000",328동 12층
23.06.24,15억,312동 12층
23.06.22,"15억 2,000",311동 11층
23.06.15,15억,316동 11층
23.06.12,"14억 4,000",313동 3층
23.06.08,"14억 9,500",317동 20층
23.06.06,"14억 3,800",304동 11층
23.05.31,"14억 8,000",320동 23층
23.05.31,"14억 7,500",316동 9층
23.05.22,"14억 4,000",318동 15층
23.05.14,"14억 2,500",303동 11층
23.05.11,"14억 2,000",316동 24층
23.05.05,"14억 3,000",309동 16층
23.05.03,"14억 5,000",312동 14층
23.05.03,"13억 8,500",312동 3층
23.05.02,"12억 9,300",309동 4층
23.04.24,14억,312동 6층
23.04.14,"13억 8,000",301동 19층
23.04.08,"14억 2,000",313동 11층
23.03.31,"14억 1,000",312동 21층
23.03.24,직13억,313동 11층
23.03.19,13억,328동 19층
23.03.09,"13억 9,000",316동 7층
23.03.04,"14억 7,000",323동 14층
23.02.27,"14억 5,000",328동 11층
23.02.22,"14억 2,500",323동 13층
23.02.19,"취소12억 8,500",309동 4층
23.02.14,14억,305동 8층
23.02.11,"14억 5,000",317동 22층
23.02.11,"14억 5,000",320동 9층
23.02.10,14억,317동 21층
23.01.31,"13억 5,000",304동 16층
23.01.19,취소13억,303동 22층
23.01.19,13억,303동 22층
23.01.17,13억,313동 6층
23.01.17,"13억 5,700",331동 23층
23.01.16,"12억 9,000",304동 20층
23.01.09,"12억 4,500",332동 3층
23.01.09,"13억 3,500",318동 15층
23.01.07,"13억 1,500",320동 11층
23.01.07,"취소13억 1,500",320동 11층
23.01.05,"12억 8,000",303동 27층
23.01.04,"13억 5,000",313동 8층
22.12.06,"12억 9,500",313동 15층
22.11.29,"12억 9,300",307동 8층
22.11.29,13억,312동 25층
22.11.18,"13억 1,500",323동 16층
22.11.13,"12억 9,000",307동 7층
22.11.02,13억,313동 10층
22.10.17,"13억 2,500",301동 11층
22.09.13,"17억 4,500",339동 2층
22.08.06,"14억 8,000",307동 19층
22.07.26,"14억 8,000",331동 18층
22.07.19,"16억 3,000",323동 13층
22.05.22,"16억 4,000",3층
22.05.22,"취소16억 4,000",3층
22.04.04,"19억 8,000",339동 11층
22.01.25,18억,337동 11층
22.01.15,"19억 5,000",339동 17층
22.01.09,18억,310동 13층
21.10.23,"17억 4,000",324동 6층
21.10.22,"17억 8,800",337동 9층
21.10.12,"17억 8,000",337동 19층
21.10.02,"18억 1,000",309동 13층
21.09.18,"17억 8,000",331동 8층
21.09.15,"17억 3,500",304동 9층
21.09.06,18억,331동 26층
21.08.30,"17억 8,489",20층 경매
21.08.23,"17억 4,000",335동 12층
21.08.05,"17억 6,000",323동 7층
21.08.04,"17억 5,000",303동 29층
21.07.01,"15억 8,110",301동 7층
21.06.08,"17억 4,000",317동 8층
21.05.31,16억,326동 18층
21.05.10,"17억 5,000",339동 4층
21.05.01,"15억 8,000",306동 8층
21.03.09,"취소15억 7,300",301동 7층
21.03.09,15억,301동 4층
21.02.23,"18억 6,500",338동 12층
21.02.20,"17억 4,000",337동 12층
21.02.19,"15억 9,000",309동 11층
21.02.18,"17억 3,000",317동 25층
21.01.21,"취소18억 6,500",338동 12층
21.01.11,"16억 3,500",331동 19층
21.01.09,16억,328동 12층
21.01.07,16억,318동 7층
21.01.06,"15억 9,000",305동 14층
20.12.11,"17억 3,000",316동 22층
20.11.19,"14억 8,500",306동 8층
20.09.28,"15억 4,556",301동 5층
