Date,Price,Floor
23.10.07,"20억 9,500",207동 26층
23.10.05,"20억 4,500",217동 9층
23.09.26,"18억 9,000",418동 1층
23.09.26,"20억 9,500",402동 18층
23.09.25,18억,109동 1층
23.09.22,"20억 9,000",413동 16층
23.09.16,21억,401동 7층
23.09.16,"20억 9,000",404동 14층
23.09.11,"19억 2,500",218동 2층
23.09.05,"21억 3,000",316동 13층
23.09.05,"20억 4,000",201동 4층
23.09.02,"20억 8,000",404동 24층
23.09.01,"20억 5,000",207동 11층
23.08.31,"20억 4,600",412동 23층
23.08.31,"20억 2,500",414동 24층
23.08.26,19억,417동 2층
23.08.26,"20억 6,000",316동 6층
23.08.23,"19억 7,500",107동 20층
23.08.20,"19억 3,500",303동 9층
23.08.19,"19억 4,300",112동 13층
23.08.18,"19억 7,000",410동 4층
23.08.15,"19억 5,500",516동 4층
23.08.14,"19억 2,000",318동 5층
23.08.14,"18억 8,500",318동 2층
23.08.14,"20억 3,500",218동 32층
23.08.12,"20억 9,500",515동 18층
23.08.10,"19억 7,000",107동 22층
23.08.09,20억,213동 3층
23.08.09,"19억 6,000",207동 14층
23.08.07,"19억 1,000",208동 28층
23.08.02,"19억 9,000",208동 26층
23.07.31,"19억 8,000",208동 13층
23.07.29,"18억 4,500",207동 2층
23.07.28,"19억 7,000",201동 30층
23.07.25,"19억 3,500",106동 30층
23.07.25,"20억 4,000",219동 27층
23.07.19,"20억 2,000",206동 27층
23.07.16,"19억 5,000",217동 26층
23.07.11,"18억 2,000",213동 3층
23.07.06,20억,404동 7층
23.07.05,"18억 8,000",414동 2층
23.07.04,"19억 2,000",218동 26층
23.07.01,"19억 4,500",208동 4층
23.06.29,"19억 1,500",304동 5층
23.06.28,"20억 2,000",109동 24층
23.06.28,"19억 3,000",109동 5층
23.06.23,"19억 1,000",202동 3층
23.06.23,19억,314동 9층
23.06.17,"20억 3,000",314동 8층
23.06.15,"20억 2,000",412동 28층
23.06.15,"18억 9,500",106동 10층
23.06.10,20억,318동 34층
23.06.10,"19억 9,000",418동 12층
23.06.10,20억,318동 34층
23.06.10,20억,417동 15층
23.06.09,16억,207동 27층
23.06.06,"19억 5,000",205동 23층
23.06.05,"19억 3,000",201동 34층
23.06.03,"19억 1,500",208동 14층
23.06.03,"19억 6,500",318동 17층
23.06.02,"18억 9,000",213동 16층
23.05.30,"18억 7,000",316동 8층
23.05.26,"19억 9,000",204동 16층
23.05.23,"18억 6,000",405동 24층
23.05.20,"19억 4,500",102동 18층
23.05.19,"19억 5,000",402동 26층
23.05.18,"19억 6,500",403동 25층
23.05.17,"18억 4,000",317동 2층
23.05.16,19억,219동 8층
23.05.11,"18억 9,000",109동 34층
23.05.11,"18억 6,000",102동 8층
23.05.08,"18억 8,500",410동 11층
23.05.08,19억,218동 4층
23.05.05,"18억 8,000",406동 8층
23.05.01,"18억 7,500",206동 7층
23.05.01,"17억 9,500",219동 2층
23.04.30,"18억 9,000",318동 19층
23.04.29,"18억 7,000",303동 14층
23.04.29,19억 500,203동 15층
23.04.27,"18억 5,000",218동 11층
23.04.27,"18억 8,000",207동 26층
23.04.22,"18억 9,000",405동 22층
23.04.21,"19억 7,000",401동 29층
23.04.21,19억,106동 9층
23.04.17,"18억 9,000",318동 16층
23.04.17,"18억 5,000",107동 8층
23.04.16,"18억 7,000",106동 27층
23.04.16,"19억 5,000",403동 12층
23.04.15,"18억 4,000",413동 2층
23.04.14,"18억 1,000",403동 1층
23.04.10,18억,217동 3층
23.04.08,"19억 1,000",516동 21층
23.04.06,18억,401동 24층
23.04.05,"18억 7,000",418동 12층
23.04.01,"18억 3,000",418동 22층
23.03.31,"18억 4,000",219동 31층
23.03.29,"18억 5,000",318동 32층
23.03.27,"18억 7,000",514동 12층
23.03.25,"18억 6,000",318동 20층
23.03.25,"17억 5,000",304동 5층
23.03.23,"17억 9,500",207동 21층
23.03.23,"18억 7,000",406동 15층
23.03.22,"18억 8,000",514동 11층
23.03.19,"18억 1,000",417동 24층
23.03.19,"18억 6,000",412동 22층
23.03.18,"18억 5,500",401동 29층
23.03.10,"17억 8,000",402동 6층
23.03.04,"18억 2,000",406동 25층
23.03.01,"17억 7,000",207동 11층
23.02.27,"18억 8,500",413동 21층
23.02.23,"18억 9,000",404동 28층
23.02.18,"18억 2,000",208동 28층
23.02.16,"18억 8,000",401동 24층
23.02.14,"18억 1,000",404동 6층
23.02.14,"18억 5,000",515동 8층
23.02.14,"17억 9,000",207동 26층
23.02.12,"16억 5,500",207동 2층
23.02.11,18억,304동 24층
23.02.11,18억,413동 11층
23.02.11,"18억 2,000",318동 8층
23.02.10,"17억 4,000",109동 16층
23.02.10,"17억 4,500",107동 32층
23.02.10,"17억 9,000",404동 8층
23.02.09,18억,410동 20층
23.02.09,18억,412동 11층
23.02.07,"16억 4,500",316동 1층
23.02.06,"17억 7,500",414동 13층
23.02.04,"17억 6,000",102동 17층
23.02.04,"18억 3,000",219동 11층
23.02.02,"17억 8,000",317동 16층
